,Question,Answer,Source,Metadata,SuggestedQuestions,IsContextOnly,Prompts,QnaId,SourceDisplayName,n_tokens
15,如池化個案檢驗結果為陽性，需再重驗1次，請問這一批給付如何申請？,"*   池化費用核算時，已包含陽性重作部分，不能重複申報，僅能申報池化1,200元(E5004C)。",https://www.cdc.gov.tw/Category/QAPage/B5ttQxRgFUZlRFPS1dRliw,,"[{""ClusterHead"":""如公費核酸檢驗結果為陽性，須重驗1次，請問如何申請？"",""TotalAutoSuggestedCount"":1,""TotalUserSuggestedCount"":0,""AlternateQuestionList"":[{""Question"":""如公費核酸檢驗結果為陽性，須重驗1次，請問如何申請？"",""AutoSuggestedCount"":1,""UserSuggestedCount"":0}]}]",False,[],43,cdc,86
16,如公費核酸檢驗結果為陽性，須重驗1次，請問如何申請？,"*   核酸檢驗費用係依據檢體給付，而非檢驗次數，故1件檢體給付3,000元。",https://www.cdc.gov.tw/Category/QAPage/B5ttQxRgFUZlRFPS1dRliw,,[],False,[],44,cdc,82
17,池化檢驗方式之案件，請問如何申報?,*   依嚴重特殊傳染性肺炎中央疫情指揮中心110年7月22日「公費支付COVID-19檢驗費用」申報核付作業討論會議紀錄，池化檢驗方式之案件於110年8月1日併同自費材群組序號及適用對象申報，110年8月1日前採用池化檢驗方式之案件，由疾病管制署於指定檢驗機構核對清單時回復。,https://www.cdc.gov.tw/Category/QAPage/B5ttQxRgFUZlRFPS1dRliw,,[],False,[],45,cdc,277
18,COVID-19公費核酸檢驗費用，檢核機制為何? 實施期程為何？,*   依110年7月2日公告衛生福利部健康保險署行政協助疾病管制署辦理「公費支付COVID-19檢驗費用」申報及核付作業，於110年7月1日起實施，自採檢日至檢驗結果上傳日不超過3日(含)給付，超過3日不給付。,https://www.cdc.gov.tw/Category/QAPage/B5ttQxRgFUZlRFPS1dRliw,,[],False,[],46,cdc,201
19,COVID-19公費核酸檢驗費用由誰申報？檢驗費用付給誰?,*   檢驗結果資料上傳單位（採檢送驗單位）於次月20日前向健保署申報，申報點數為0，後續由疾管署核定後，支付予嚴重特殊傳染性肺炎指定檢驗機構。,https://www.cdc.gov.tw/Category/QAPage/B5ttQxRgFUZlRFPS1dRliw,,[],False,[],47,cdc,167
20,COVID-19公費檢驗費用申報，自費材群組序號及適用對象，實施期程為何？,*   依嚴重特殊傳染性肺炎中央疫情指揮中心「公費支付COVID-19檢驗費用」申報核付作業討論會議紀錄，自費材群組序號及適用對象於110年8月1日起實施，為必填。,https://www.cdc.gov.tw/Category/QAPage/B5ttQxRgFUZlRFPS1dRliw,,[],False,[],48,cdc,166
21,透過健保申報，多久可以拿到公費核酸檢驗費用?,*   檢驗結果資料上傳單位（採檢送驗單位）於次月20日前向健保署申報，健保署每週轉申報資料給疾管署，疾管署核對健保IC卡上傳資料、申報資料及疾管署實驗室資訊系統資料，再e-mail與指定檢驗機構確認，指定檢驗機構函復疾管署確認清單，疾管署再請健保署撥付費用至指定檢驗機構。,https://www.cdc.gov.tw/Category/QAPage/B5ttQxRgFUZlRFPS1dRliw,,[],False,[],49,cdc,322
22,大專校院境外生專案入境居家檢疫期滿後須於何時進行公費採檢？,A1：入住防疫旅宿（或檢核通過之防疫宿舍）境外生，於居家檢疫期滿後「隔日」由學校安排至醫院採檢；入住集中檢疫場所境外生，依該場所安排進行採檢。,https://www.cdc.gov.tw/Category/QAPage/B5ttQxRgFUZlRFPS1dRliw,,[],False,[],87,cdc,164
23,採檢醫院資訊可到哪裡參考？,A2：可至疾病管制署全球資訊網/傳染病與防疫專題/傳染病介紹/第五類法定傳染病/嚴重特殊傳染性肺炎/醫療照護機構感染管制相關指引/醫療院所因應COVID-19分流就醫及轉診建議/COVID-19全國指定社區採檢院所及重度收治醫院清單項下參考，請學校事先與學生居家檢疫所在地採檢醫院協調，確定採檢醫院及時間。,https://www.cdc.gov.tw/Category/QAPage/B5ttQxRgFUZlRFPS1dRliw,,"[{""ClusterHead"":""COVID 資訊"",""TotalAutoSuggestedCount"":0,""TotalUserSuggestedCount"":1,""AlternateQuestionList"":[{""Question"":""COVID 資訊"",""AutoSuggestedCount"":0,""UserSuggestedCount"":1}]}]",False,[],88,cdc,333
24,居家檢疫期滿後隔日至採檢醫院採檢，若遇到假日要如何進行採檢？,A3：原則上於檢疫結束日隔日(即自主健康管理第一天)須前往採檢，惟遇有特殊情形(如學生身體狀況不適合採檢或採檢院所量能問題)該日無法採檢，則儘速安排隔日採檢，以儘早完成採檢作業。,https://www.cdc.gov.tw/Category/QAPage/B5ttQxRgFUZlRFPS1dRliw,,[],False,[],89,cdc,200
25,採檢醫院表示檢驗名額已額滿，檢疫期滿後該到哪裡做採檢？,A4：請學校依Q2.「全國指定社區採檢院所及重度收治醫院清單」，查詢並詢問學生居家檢疫所在地其他採檢醫院可否進行採檢，或向居家檢疫所在地衛生局詢問是否有其他可進行採檢之院所；若檢疫所在地採檢醫院量能不足，欲至鄰近縣市採檢，須請檢疫所在地衛生局協助先行告知其他縣市衛生局。,https://www.cdc.gov.tw/Category/QAPage/B5ttQxRgFUZlRFPS1dRliw,,[],False,[],90,cdc,314
26,採檢費用要先支付?還是如何申請核銷？,A5：大專校院入境境外生，採檢及檢驗費用係由嚴重特殊傳染性肺炎中央流行疫情指揮中心(下稱指揮中心)支應，餘衍生醫療費用（如掛號費、診療費）及交通費用由學生負擔。,https://www.cdc.gov.tw/Category/QAPage/B5ttQxRgFUZlRFPS1dRliw,,[],False,[],91,cdc,183
27,至採檢醫院採檢需要檢附什麼報告或文件？,A6：校方管理者應將大專校院境外生採檢名冊事先提供給採檢醫院所在地衛生局，並協助境外生，於居家檢疫期滿後，持「學校核定函」及「教育部通知函」至採檢醫院進行採檢。,https://www.cdc.gov.tw/Category/QAPage/B5ttQxRgFUZlRFPS1dRliw,,[],False,[],92,cdc,179
28,採檢完會提供檢驗報告嗎？,A7：採檢及檢驗費用由指揮中心支應，其檢驗結果由採檢醫院所在地衛生局通知校方管理者，採檢醫院不會提供檢驗報告。如學校或學生本人有檢驗報告需求，可逕洽醫院並按照醫院收費標準支付。,https://www.cdc.gov.tw/Category/QAPage/B5ttQxRgFUZlRFPS1dRliw,,[],False,[],93,cdc,214
29,須進行居家（個別）隔離者有生活上共同照顧之需求，可否由 非隔離者 在家中照顧一起隔離？,"一、如果須進行隔離者符合下列情形，且須由非隔離者共同照顧，請洽隔離地點所在地之「地方政府居家檢疫及居家隔離關懷服務中心」，經評估同意後，則彈性准予隔離期間在隔離地點同住，不受1人1室之限制，惟為風險管理考量，照顧者以1名為限並須固定人員，且應比照隔離者，同時進行隔離、設定電子圍籬系統、期滿自主健康管理及遵守相關規定與注意事項。 \n\n（一） 兒童及少年（<18歲）。 \n\n（二） ≧65歲以上之生活無法自理者。 \n\n（三） 身心障礙者。 \n\n（四） 身心失能者。 \n\n（五） 重大傷病者。 \n\n（六） 經醫師評估懷孕期間，需有人照顧之生活無法自理者。 \n\n（七） 因傷害或疾病，生活無法自理。 \n\n（八） 其他經地方政府評估同意之情形。 \n\n二、具第一項任一情形者，如果同住地點為防疫旅宿，應佩戴醫用口罩依地方政府安排之適當交通方式至隔離地點，並須配合地方政府及「 [臺灣旅宿網/防疫旅宿專區-防疫旅宿窗口 ](https://taiwan.taiwanstay.net.tw/covhotel/ ""臺灣旅宿網/防疫旅宿專區-防疫旅宿窗口(另開新視窗)"")」安排之房型入住。 \n\n三、同住者日常生活仍需採取適當防護措施，包括落實佩戴口罩、遵守呼吸道衛生、勤洗手以加強執行手部衛生、保持良好衛生習慣及維持社交安全距離，且不可共食。",https://www.cdc.gov.tw/Category/QAPage/B5ttQxRgFUZlRFPS1dRliw,system_metadata_qna_edited_manually:true,"[{""ClusterHead"":""需要隔離嗎?"",""TotalAutoSuggestedCount"":3,""TotalUserSuggestedCount"":1,""AlternateQuestionList"":[{""Question"":""需要隔離嗎?"",""AutoSuggestedCount"":3,""UserSuggestedCount"":1}]}]",False,[],115,cdc,1085
30,需要隔離嗎,"一、如果須進行隔離者符合下列情形，且須由非隔離者共同照顧，請洽隔離地點所在地之「地方政府居家檢疫及居家隔離關懷服務中心」，經評估同意後，則彈性准予隔離期間在隔離地點同住，不受1人1室之限制，惟為風險管理考量，照顧者以1名為限並須固定人員，且應比照隔離者，同時進行隔離、設定電子圍籬系統、期滿自主健康管理及遵守相關規定與注意事項。 \n\n（一） 兒童及少年（<18歲）。 \n\n（二） ≧65歲以上之生活無法自理者。 \n\n（三） 身心障礙者。 \n\n（四） 身心失能者。 \n\n（五） 重大傷病者。 \n\n（六） 經醫師評估懷孕期間，需有人照顧之生活無法自理者。 \n\n（七） 因傷害或疾病，生活無法自理。 \n\n（八） 其他經地方政府評估同意之情形。 \n\n二、具第一項任一情形者，如果同住地點為防疫旅宿，應佩戴醫用口罩依地方政府安排之適當交通方式至隔離地點，並須配合地方政府及「 [臺灣旅宿網/防疫旅宿專區-防疫旅宿窗口 ](https://taiwan.taiwanstay.net.tw/covhotel/ ""臺灣旅宿網/防疫旅宿專區-防疫旅宿窗口(另開新視窗)"")」安排之房型入住。 \n\n三、同住者日常生活仍需採取適當防護措施，包括落實佩戴口罩、遵守呼吸道衛生、勤洗手以加強執行手部衛生、保持良好衛生習慣及維持社交安全距離，且不可共食。",https://www.cdc.gov.tw/Category/QAPage/B5ttQxRgFUZlRFPS1dRliw,system_metadata_qna_edited_manually:true,"[{""ClusterHead"":""需要隔離嗎?"",""TotalAutoSuggestedCount"":3,""TotalUserSuggestedCount"":1,""AlternateQuestionList"":[{""Question"":""需要隔離嗎?"",""AutoSuggestedCount"":3,""UserSuggestedCount"":1}]}]",False,[],115,cdc,1085
31,我需要被隔離,"一、如果須進行隔離者符合下列情形，且須由非隔離者共同照顧，請洽隔離地點所在地之「地方政府居家檢疫及居家隔離關懷服務中心」，經評估同意後，則彈性准予隔離期間在隔離地點同住，不受1人1室之限制，惟為風險管理考量，照顧者以1名為限並須固定人員，且應比照隔離者，同時進行隔離、設定電子圍籬系統、期滿自主健康管理及遵守相關規定與注意事項。 \n\n（一） 兒童及少年（<18歲）。 \n\n（二） ≧65歲以上之生活無法自理者。 \n\n（三） 身心障礙者。 \n\n（四） 身心失能者。 \n\n（五） 重大傷病者。 \n\n（六） 經醫師評估懷孕期間，需有人照顧之生活無法自理者。 \n\n（七） 因傷害或疾病，生活無法自理。 \n\n（八） 其他經地方政府評估同意之情形。 \n\n二、具第一項任一情形者，如果同住地點為防疫旅宿，應佩戴醫用口罩依地方政府安排之適當交通方式至隔離地點，並須配合地方政府及「 [臺灣旅宿網/防疫旅宿專區-防疫旅宿窗口 ](https://taiwan.taiwanstay.net.tw/covhotel/ ""臺灣旅宿網/防疫旅宿專區-防疫旅宿窗口(另開新視窗)"")」安排之房型入住。 \n\n三、同住者日常生活仍需採取適當防護措施，包括落實佩戴口罩、遵守呼吸道衛生、勤洗手以加強執行手部衛生、保持良好衛生習慣及維持社交安全距離，且不可共食。",https://www.cdc.gov.tw/Category/QAPage/B5ttQxRgFUZlRFPS1dRliw,system_metadata_qna_edited_manually:true,"[{""ClusterHead"":""需要隔離嗎?"",""TotalAutoSuggestedCount"":3,""TotalUserSuggestedCount"":1,""AlternateQuestionList"":[{""Question"":""需要隔離嗎?"",""AutoSuggestedCount"":3,""UserSuggestedCount"":1}]}]",False,[],115,cdc,1085
32,為什麼要實施秋冬防疫專案？,A：隨著時序進入秋冬，全球疫情仍持續上升，多國單日確診人數屢創新高，我國境外移入個案亦隨之增加，加上民眾於防疫新生活之持續落實度未盡理想，為能妥善因應國內在秋冬時期面臨流感流行和COVID-19疫情之雙重負擔，指揮中心規劃數項因應措施，合併為秋冬防疫專案，以強化邊境檢疫與社區管理，並提升對COVID-19疑似個案之偵測，以利及早應處。,https://www.cdc.gov.tw/Category/QAPage/B5ttQxRgFUZlRFPS1dRliw,,[],False,[],121,cdc,366
33,為什麼要實施強制佩戴口罩？,A：國內自109年6月7日起放寬生活防疫管制措施，鼓勵民眾落實防疫新生活，由於落實情形不甚理想，於109年8月5日再列舉八大類不易保持社交距離，或容易近距離接觸不特定人士之人潮擁擠及密閉之場所，請民眾務必佩戴口罩。考量秋冬時期除了COVID-19疫情以外，也有多種呼吸道傳染病盛行，都會加重醫療體系的負荷與調度壓力，為了有效提高民眾於高感染傳播風險場域佩戴口罩之遵循度，以降低呼吸道傳染病的感染與傳播，進而避免過度耗用醫療資源，故強制要求民眾進入不易保持社交距離，會近距離接觸不特定人，可能傳播COVID-19之室內場所應佩戴口罩。,https://www.cdc.gov.tw/Category/QAPage/B5ttQxRgFUZlRFPS1dRliw,,[],False,[],123,cdc,551
34,有哪些場所需要強制佩戴口罩？,A：包含「醫療照護、公共運輸、民生消費、教育學習、觀展觀賽、休閒娛樂、宗教祭祀、洽公機關（構）」等八大類高感染傳播風險場域（指不易保持社交距離，會近距離接觸不特定人，可能傳播COVID-19之室內場所），要求進入該類場所活動的民眾佩戴口罩，除了有助於防範COVID-19之外，對於其他各類經由飛沫、空氣傳播之疾病也能發揮防護效果。,https://www.cdc.gov.tw/Category/QAPage/B5ttQxRgFUZlRFPS1dRliw,,[],False,[],124,cdc,346
35,1：教育學習場所包括學校嗎？,A：考量學校教室、幼兒園、安親班、補習班等場所多為特定人，故不列入須強制佩戴口罩之場所。由教育部依據指揮中心公告相關指引，督導落實執行各項防疫措施。,https://www.cdc.gov.tw/Category/QAPage/B5ttQxRgFUZlRFPS1dRliw,,[],False,[],125,cdc,163
36,2：進入觀展觀賽場所要強制佩戴口罩的對象，包括表演者、運動員嗎？,A：要求強制佩戴口罩的對象主要是針對進入該場所觀展觀賽的民眾。表演、競賽活動之主辦單位應做好表演者、運動員及觀眾之動線分流，並確保舞台、比賽場地能與觀眾保持足夠之社交距離，至於表演者、運動員，於演出、比賽前後應佩戴口罩。如為指揮中心核准之特殊檢疫專案，應依核定之防疫計畫辦理。,https://www.cdc.gov.tw/Category/QAPage/B5ttQxRgFUZlRFPS1dRliw,,[],False,[],126,cdc,310
37,3：醫院照護機構的住院病人、住民或托嬰中心受托的嬰幼兒是不是也要強制佩戴口罩？,A：要求強制佩戴口罩的對象主要是針對進入該類場域就醫、陪探病、探視、接送嬰幼兒或辦理事務之民眾。但如果該類場域已律定住院病人、住民或受托的嬰幼兒等對象，需要全程佩戴口罩或配合其他防疫措施，以符合感染管制要求，則應依規定辦理。,https://www.cdc.gov.tw/Category/QAPage/B5ttQxRgFUZlRFPS1dRliw,,[],False,[],127,cdc,255
38,4：八大類高風險場域的工作人員是不是也要強制佩戴口罩？,A：要求強制佩戴口罩的對象主要是針對進入高風險場域活動的民眾。而該等場域內的工作人員，若其工作性質會近距離接觸不特定人，如市場或商店之銷售人員、展演場所引導人員、接待洽公民眾之人員等，建議工作期間應佩戴口罩，若是擔任內勤人員，則落實防疫新生活之措施即可。但如果該場域已律定工作人員需要全程佩戴口罩以符合感染管制要求，如醫療照護機構，則應依規定辦理。,https://www.cdc.gov.tw/Category/QAPage/B5ttQxRgFUZlRFPS1dRliw,,[],False,[],128,cdc,388
39,2：如果是在航班、高鐵及台鐵車廂等不易保持社交距離、亦無法提供阻隔設備之場所，但仍有飲食需求的話，應該怎麼辦？,A：在可飲食之公共運輸車廂或海空運航班中，在與不特定人保持社交距離(室內1.5公尺，室外1公尺)，或有適當阻隔設備(如隔板)或社交距離內不特定人均有佩戴口罩之情形下，可暫時取下口罩飲食，飲食期間不交談，並於飲食完畢須立即戴上口罩。,https://www.cdc.gov.tw/Category/QAPage/B5ttQxRgFUZlRFPS1dRliw,,[],False,[],130,cdc,236
40,嬰兒或學齡前幼兒若沒辦法戴好口罩，怎麼辦？,A：對於持續佩戴口罩較為困難之嬰兒或學齡前幼兒，家長宜自主避開尖峰時刻之人潮，注意社交距離，並避免帶至人潮擁擠的室內外公共場所等。不得已必須前往公共場所或搭乘大眾交通工具時，請家長為學齡前幼兒戴好幼幼口罩或小童口罩，且注意佩戴情形；對於不適合佩戴口罩之嬰兒，應以具遮簾之嬰兒車或嬰兒提籃防護飛沫。因病就醫時建議亦須留意上述原則。,https://www.cdc.gov.tw/Category/QAPage/B5ttQxRgFUZlRFPS1dRliw,,[],False,[],132,cdc,364
41,國外曾有健身房發生COVID-19群聚感染事件，對於前往健身休閒場所活動的民眾，有甚麼防護措施？,A：民眾常前往的健身房、游泳池、三溫暖、溫泉……等健身休閒場所，其活動性質無法全程佩戴口罩。建議業者或場所管理單位可採用「人數總量管制」、「加大設施間距」等方式進行管控，有助於在場所內活動民眾能持續、有效地保持社交距離，並請民眾配合實聯制、體溫量測、手部消毒等防疫措施。也請民眾在活動前後(如使用健身器材前後、游泳前熱身及上岸後、進出浴池或蒸氣室前後……等)應戴上口罩，活動時再取下，並盡量與他人保持社交距離。,https://www.cdc.gov.tw/Category/QAPage/B5ttQxRgFUZlRFPS1dRliw,,[],False,[],133,cdc,446
42,在公告的八大場域沒有配合戴口罩會被處罰嗎？會有怎麼樣的處罰？,"A：強制佩戴口罩措施的法源依據是傳染病防治法第37條第1項第6款，違規者將由地方政府依傳染病防治法第70條執行裁罰，可處新臺幣3,000元以上15,000元以下罰鍰。",https://www.cdc.gov.tw/Category/QAPage/B5ttQxRgFUZlRFPS1dRliw,,[],False,[],134,cdc,167
43,民眾在公告的八大類場域不配合戴口罩時，場所的負責人也會被處罰嗎？,A：民眾在公告的八大類場域沒有配合戴口罩時，該場所所屬之各機關（構）、團體、事業（即場所之管理人、業者、負責人）等暫不納入裁罰對象，指揮中心將視執行狀況，滾動調整相關措施。場所之管理人、業者、負責人應善盡管理責任並配合政府防疫政策，加強落實民眾宣導、實聯制、體溫量測、手部及環境消毒、人數管制等防疫措施。,https://www.cdc.gov.tw/Category/QAPage/B5ttQxRgFUZlRFPS1dRliw,,[],False,[],135,cdc,341
44,採檢醫院資訊可到哪裡參考?,A1：可至疾病管制署全球資訊網/傳染病與防疫專題/傳染病介紹/第五類法定傳染病/嚴重特殊傳染性肺炎/醫療照護機構感染管制相關指引/醫療院所因應COVID-19(武漢肺炎)分流就醫及轉診建議/COVID-19(武漢肺炎)全國指定社區採檢院所及重度收治醫院清單。,https://www.cdc.gov.tw/Category/QAPage/B5ttQxRgFUZlRFPS1dRliw,,[],False,[],136,cdc,269
45,完成檢疫程序翌日前往採檢醫院，有規定幾日內嗎?如果遇到假日，要如何去採檢?,A2：原則上於檢疫結束日隔日(即自主健康管理第一天)須前往採檢，若遇有特殊情形(如移工身體狀況不適合採檢或採檢院所量能問題)該日無法採檢則儘速安排隔日採檢，以儘早完成採檢作業。,https://www.cdc.gov.tw/Category/QAPage/B5ttQxRgFUZlRFPS1dRliw,,[],False,[],137,cdc,200
46,若因航空公司航班延誤，致旅客核酸檢驗報告逾期，是否需重新檢驗？,A10：若旅客所持核酸檢驗報告與原訂班機「表定航班時間(Flight Schedule Time)」計算，未逾期超過2天者，可予同意登機，不需於啟程地再接受檢驗；惟若逾期超過2天以上，仍需要重新檢驗。,https://www.cdc.gov.tw/Category/QAPage/B5ttQxRgFUZlRFPS1dRliw,,[],False,[],160,cdc,173
47,目前指揮中心強化入境旅客檢疫措施，其重要事項為何？,A13：入境旅客除須依原規定檢附搭機前2日內採檢之檢驗報告外，亦須提供檢疫居所證明(以防疫旅宿為或自費入住集中檢疫所原則)；另，經由海港入境者，其檢疫居所規定，亦同。入境檢疫措施將視疫情及執行狀況，適時滾動調整。,https://www.cdc.gov.tw/Category/QAPage/B5ttQxRgFUZlRFPS1dRliw,,[],False,[],163,cdc,244
48,哪些外籍移工入境後會進行新冠肺炎的採檢？,*   自109年9月26日起，不分國籍，向勞動部申請集中檢疫的外籍移工都會在檢疫期滿前1天採檢送驗新冠肺炎，並等到檢驗報告陰性且檢疫期滿後，才會解除檢疫。,https://www.cdc.gov.tw/Category/QAPage/B5ttQxRgFUZlRFPS1dRliw,,[],False,[],166,cdc,167
49,集中檢疫的外籍移工於解除檢疫前的新冠肺炎採檢流程為何？,*   集中檢疫的外籍移工檢疫期滿前1天，集中檢疫場所的負責醫院會派人至集中檢疫場所進行採檢，並等到檢驗報告陰性且檢疫期滿後，外籍移工才會解除檢疫。現行檢疫期限維持不變，且仲介或雇主不需負擔額外費用。,https://www.cdc.gov.tw/Category/QAPage/B5ttQxRgFUZlRFPS1dRliw,,[],False,[],167,cdc,235
50,我是外籍移工的雇主，我會拿到外籍移工新冠肺炎的檢驗報告嗎？,*   針對集中檢疫的外籍移工採檢送驗新冠肺炎，屬於新冠肺炎防治的加強監測專案，因此不會提供個人檢驗報告；若因特定目的需取得個人檢驗報告做為相關證明，請以自費採檢途徑辦理。,https://www.cdc.gov.tw/Category/QAPage/B5ttQxRgFUZlRFPS1dRliw,,[],False,[],168,cdc,199
51,「開放非本國籍商務人士入境」之入境許可應向誰申辦?,A2：外籍人士應赴我國駐外館處申請特別入境許可，中國籍人士由我國邀請單位於內政部移民署線上系統申請，港澳人士赴香港、澳門經濟文化辦事處或駐外館處申請。,https://www.cdc.gov.tw/Category/QAPage/B5ttQxRgFUZlRFPS1dRliw,,[],False,[],187,cdc,174
